Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,133.889999,134.479996,133.520004,134.119995,131.272522,156600
2016-08-30,134.080002,134.250000,133.369995,133.699997,130.861435,120900
2016-08-31,133.149994,133.720001,132.779999,133.179993,130.352463,149500
2016-09-01,133.270004,133.610001,132.309998,132.970001,130.146942,349500
2016-09-02,133.339996,133.460007,132.800003,133.160004,130.332916,190800
2016-09-06,133.369995,134.089996,133.289993,133.910004,131.066986,175200
2016-09-07,133.809998,134.429993,133.559998,133.949997,131.106140,131900
2016-09-08,133.669998,134.279999,133.539993,134.139999,131.292099,126100
2016-09-09,133.279999,133.279999,131.289993,131.289993,128.502609,263200
2016-09-12,130.759995,133.699997,130.570007,133.399994,130.567825,200400
2016-09-13,132.520004,132.570007,130.839996,131.580002,128.786453,262800
2016-09-14,131.699997,132.539993,131.210007,131.580002,128.786453,154500
2016-09-15,131.589996,133.479996,131.199997,133.080002,130.254608,167700
2016-09-16,132.839996,133.490005,132.639999,133.339996,130.509079,114700
2016-09-19,133.619995,134.050003,132.839996,132.919998,130.097992,94300
2016-09-20,132.899994,133.369995,132.889999,132.889999,130.557785,85000
2016-09-21,133.309998,134.470001,132.429993,134.199997,131.844803,173300
2016-09-22,134.850006,135.470001,134.710007,135.220001,132.846909,129300
2016-09-23,135.070007,135.389999,134.710007,134.759995,132.394958,127800
2016-09-26,134.369995,134.500000,132.929993,133.210007,130.872192,151900
2016-09-27,133.080002,134.240005,132.839996,134.240005,131.884109,118200
2016-09-28,134.330002,134.429993,133.289993,133.970001,131.618851,120200
2016-09-29,133.800003,133.949997,131.100006,131.440002,129.133240,178200
2016-09-30,131.809998,133.259995,131.600006,132.889999,130.557785,300000
2016-10-03,132.470001,132.690002,131.669998,132.570007,130.243408,128200
2016-10-04,132.639999,133.119995,131.779999,132.350006,130.027283,139700
2016-10-05,132.759995,133.330002,132.589996,133.039993,130.705139,115900
2016-10-06,132.449997,132.580002,131.679993,132.220001,129.899551,181200
2016-10-07,132.500000,132.740005,131.399994,132.270004,129.948669,150600
2016-10-10,132.270004,133.500000,132.270004,133.080002,130.744461,99600
2016-10-11,132.199997,132.270004,129.080002,129.710007,127.433609,330400
2016-10-12,129.710007,130.130005,128.720001,128.830002,126.569046,192000
2016-10-13,128.000000,129.360001,127.629997,128.929993,126.667274,200600
2016-10-14,129.259995,129.440002,127.769997,127.769997,125.527634,249500
2016-10-17,127.660004,127.919998,127.070000,127.489998,125.252563,279800
2016-10-18,128.440002,129.190002,128.350006,128.880005,126.618172,285800
2016-10-19,128.960007,129.089996,128.300003,128.360001,126.107285,132000
2016-10-20,128.330002,129.369995,128.089996,128.990005,126.726234,134200
2016-10-21,128.160004,128.360001,127.720001,128.050003,125.802742,160600
2016-10-24,128.539993,128.589996,127.809998,127.809998,125.566940,363700
2016-10-25,127.510002,128.020004,127.230003,127.320000,125.085556,163100
2016-10-26,127.110001,127.110001,125.730003,126.110001,123.896774,216300
2016-10-27,126.959999,127.320000,126.309998,126.419998,124.201340,221400
2016-10-28,125.610001,125.610001,123.610001,123.949997,121.774689,333800
2016-10-31,123.870003,123.910004,123.260002,123.349998,121.185219,220200
2016-11-01,123.360001,123.709999,121.660004,122.779999,120.625221,321600
2016-11-02,122.459999,123.239998,121.949997,121.980003,119.839264,261500
2016-11-03,122.139999,122.760002,120.379997,120.559998,118.444183,377400
2016-11-04,120.500000,122.389999,120.500000,121.529999,119.397163,240700
2016-11-07,123.120003,124.989998,123.050003,124.669998,122.482048,421100
2016-11-08,124.500000,125.959999,123.709999,125.070000,122.875031,288400
2016-11-09,128.389999,130.880005,126.669998,129.470001,127.197823,1915500
2016-11-10,132.229996,132.229996,129.990005,131.110001,128.809036,877700
2016-11-11,130.850006,130.850006,128.809998,129.589996,127.315704,389100
2016-11-14,130.000000,130.910004,129.210007,129.449997,127.178162,259900
2016-11-15,129.990005,130.000000,128.570007,129.860001,127.580971,288200
2016-11-16,129.750000,130.139999,129.070007,129.190002,126.922729,340300
2016-11-17,129.350006,129.940002,129.000000,129.869995,127.590775,216700
2016-11-18,130.009995,130.100006,128.550003,128.610001,126.352913,217400
2016-11-21,128.889999,129.229996,128.710007,129.029999,126.765549,229600
2016-11-22,129.119995,129.119995,126.379997,127.190002,124.957825,321000
2016-11-23,125.699997,127.949997,125.300003,127.900002,125.655365,239800
2016-11-25,128.039993,128.559998,127.900002,128.490005,126.235008,158800
2016-11-28,128.160004,128.250000,127.110001,127.169998,124.938179,195900
2016-11-29,127.540001,128.380005,127.540001,127.900002,125.655365,123000
2016-11-30,128.179993,128.179993,126.559998,126.650002,124.427299,342200
2016-12-01,126.699997,126.889999,125.120003,125.389999,123.189423,293300
2016-12-02,125.440002,126.379997,125.110001,125.839996,123.631516,284900
2016-12-05,126.360001,126.570000,125.459999,125.879997,123.670822,272400
2016-12-06,126.199997,126.540001,125.559998,126.540001,124.319237,207000
2016-12-07,125.760002,125.760002,123.529999,125.269997,123.071526,492100
2016-12-08,124.860001,125.699997,124.089996,125.589996,123.385902,509000
2016-12-09,125.930000,127.290001,125.930000,126.970001,124.741684,350100
2016-12-12,126.809998,127.589996,126.730003,127.500000,125.262383,377200
2016-12-13,127.879997,128.500000,127.879997,128.259995,126.009041,629100
2016-12-14,127.660004,128.380005,126.669998,127.180000,125.457619,330000
2016-12-15,127.349998,128.149994,127.169998,128.089996,126.355293,354200
2016-12-16,128.360001,128.720001,127.800003,128.089996,126.355293,211300
2016-12-19,128.410004,128.789993,127.400002,127.589996,125.862061,359900
2016-12-20,127.940002,128.000000,127.250000,127.620003,125.891655,290800
2016-12-21,127.620003,127.720001,126.620003,126.790001,125.072899,232000
2016-12-22,126.660004,126.830002,126.139999,126.779999,125.063034,397700
2016-12-23,126.690002,127.980003,126.690002,127.900002,126.167862,166300
2016-12-27,128.110001,128.929993,128.000000,128.029999,126.296097,352900
2016-12-28,128.020004,128.229996,126.980003,127.010002,125.289925,187700
2016-12-29,127.010002,127.629997,126.919998,127.120003,125.398430,175100
2016-12-30,127.230003,127.349998,126.309998,126.769997,125.053162,350700
2017-01-03,127.290001,128.339996,127.000000,128.339996,126.601898,392900
2017-01-04,128.580002,129.899994,128.559998,129.589996,127.834976,334400
2017-01-05,129.589996,130.199997,129.320007,130.149994,128.387390,231700
2017-01-06,130.330002,130.960007,129.869995,130.550003,128.781998,264400
2017-01-09,130.600006,131.710007,130.509995,131.539993,129.758560,300700
2017-01-10,131.740005,132.619995,131.259995,132.009995,130.222198,270800
2017-01-11,132.179993,132.619995,129.380005,130.470001,128.703064,397300
2017-01-12,130.149994,130.809998,129.580002,130.669998,128.900345,343400
2017-01-13,130.949997,131.619995,130.600006,131.009995,129.235748,182000
2017-01-17,130.610001,130.610001,129.300003,130.190002,128.426849,271600
2017-01-18,130.490005,130.729996,129.820007,130.149994,128.387390,183100
2017-01-19,130.110001,130.110001,129.080002,129.309998,127.558762,167000
2017-01-20,129.470001,129.869995,128.839996,129.020004,127.272697,204800
2017-01-23,128.759995,129.190002,127.959999,128.309998,126.572304,286200
2017-01-24,128.190002,128.750000,126.910004,127.660004,125.931129,278100
2017-01-25,127.949997,128.929993,127.760002,128.809998,127.065529,210000
2017-01-26,128.479996,128.820007,127.879997,127.879997,126.148140,233100
2017-01-27,128.199997,128.910004,128.110001,128.830002,127.085266,205600
2017-01-30,128.490005,128.860001,127.500000,128.070007,126.335571,244400
2017-01-31,127.910004,130.199997,127.620003,130.139999,128.377533,321200
2017-02-01,130.449997,131.169998,130.080002,131.059998,129.285065,215400
2017-02-02,130.949997,131.449997,130.449997,131.309998,129.531693,300100
2017-02-03,131.770004,132.130005,131.130005,132.070007,130.281387,171400
2017-02-06,131.889999,132.070007,131.460007,132.070007,130.281387,131400
2017-02-07,132.179993,132.639999,131.699997,131.979996,130.192596,177300
2017-02-08,131.289993,132.179993,131.089996,131.899994,130.113678,167700
2017-02-09,131.899994,133.059998,131.850006,132.759995,130.962051,144900
2017-02-10,132.880005,133.300003,132.600006,132.860001,131.060684,163400
2017-02-13,133.300003,133.770004,133.089996,133.679993,131.869583,219600
2017-02-14,133.610001,134.850006,133.380005,134.850006,133.023758,416600
2017-02-15,134.529999,136.509995,134.529999,136.300003,134.454117,239600
2017-02-16,136.380005,136.500000,135.070007,136.039993,134.197617,195200
2017-02-17,135.649994,136.309998,135.600006,136.309998,134.463974,322500
2017-02-21,136.580002,137.289993,136.419998,136.860001,135.006531,468700
2017-02-22,136.820007,137.130005,136.500000,136.559998,134.710587,197900
2017-02-23,136.750000,137.529999,136.309998,137.289993,135.430710,248700
2017-02-24,137.039993,138.149994,137.039993,138.100006,136.229736,238800
2017-02-27,138.029999,139.130005,137.899994,139.050003,137.166870,376900
2017-02-28,138.740005,139.149994,138.339996,138.490005,136.614456,253200
2017-03-01,139.080002,140.419998,138.919998,140.110001,138.212509,541500
2017-03-02,139.820007,140.470001,139.580002,139.649994,137.758728,458200
2017-03-03,139.539993,140.300003,139.389999,140.300003,138.399918,169000
2017-03-06,139.759995,139.940002,139.009995,139.559998,137.669968,161400
2017-03-07,138.490005,139.139999,138.059998,138.479996,136.604584,341400
2017-03-08,138.470001,139.559998,138.470001,139.000000,137.117554,167400
2017-03-09,139.020004,139.899994,139.009995,139.850006,137.956024,134700
2017-03-10,140.369995,140.429993,139.669998,140.240005,138.340759,147100
2017-03-13,140.259995,140.399994,139.589996,140.289993,138.390076,308000
2017-03-14,139.690002,140.190002,139.419998,139.660004,137.768616,356700
2017-03-15,139.710007,141.679993,139.699997,141.360001,139.445587,131100
2017-03-16,141.529999,141.529999,139.639999,140.210007,138.311142,447300
2017-03-17,140.070007,140.070007,139.369995,139.429993,137.541702,153900
2017-03-20,139.690002,139.800003,139.009995,139.289993,137.403610,109300
2017-03-21,139.759995,139.990005,137.589996,137.779999,135.914063,255800
2017-03-22,137.839996,138.160004,137.160004,138.029999,136.160675,132600
2017-03-23,137.789993,138.520004,137.330002,137.500000,135.637848,144500
2017-03-24,137.199997,137.869995,136.800003,137.380005,135.957504,162300
2017-03-27,136.440002,138.100006,136.009995,137.860001,136.432541,237800
2017-03-28,137.899994,138.139999,137.229996,137.919998,136.491913,288400
2017-03-29,138.190002,138.449997,137.830002,138.020004,136.590897,204600
2017-03-30,138.190002,138.440002,137.630005,138.110001,136.679947,133400
2017-03-31,137.839996,138.139999,137.630005,137.820007,136.392975,115200
2017-04-03,137.929993,138.470001,137.320007,137.669998,136.244507,270700
2017-04-04,137.589996,137.779999,137.149994,137.500000,136.076263,259300
2017-04-05,137.839996,138.460007,136.809998,136.979996,135.561630,204800
2017-04-06,137.000000,137.410004,136.699997,137.289993,135.868423,223300
2017-04-07,137.139999,137.830002,136.830002,137.520004,136.096069,185400
2017-04-10,137.580002,138.050003,137.220001,137.339996,135.917908,103300
2017-04-11,137.070007,137.380005,136.389999,137.080002,135.660614,109800
2017-04-12,137.050003,137.470001,136.559998,137.080002,135.660614,91100
2017-04-13,136.960007,137.440002,136.830002,136.949997,135.531967,83500
2017-04-17,136.839996,137.410004,136.460007,137.300003,135.878342,90000
2017-04-18,136.800003,136.800003,135.399994,135.970001,134.562119,172700
2017-04-19,136.529999,136.880005,136.309998,136.449997,135.037140,109900
2017-04-20,136.740005,137.500000,136.100006,137.270004,135.848663,98500
2017-04-21,137.000000,137.169998,136.229996,136.509995,135.096527,124300
2017-04-24,137.919998,138.179993,137.699997,137.820007,136.392975,119800
2017-04-25,138.279999,138.970001,138.009995,138.600006,137.164871,129700
2017-04-26,138.929993,139.750000,138.929993,139.279999,137.837830,175800
2017-04-27,139.380005,140.330002,139.289993,139.759995,138.312866,144300
2017-04-28,140.039993,140.179993,139.490005,140.130005,138.679047,171400
2017-05-01,140.369995,140.759995,140.190002,140.470001,139.015518,305600
2017-05-02,140.710007,140.889999,139.889999,140.679993,139.223312,216000
2017-05-03,140.509995,140.509995,139.720001,140.050003,138.599854,114500
2017-05-04,140.289993,140.869995,140.229996,140.850006,139.391586,110000
2017-05-05,141.000000,141.059998,140.210007,140.830002,139.371780,111100
2017-05-08,140.699997,140.699997,139.539993,139.699997,138.253479,122700
2017-05-09,139.839996,140.229996,139.759995,139.960007,138.510803,205600
